Hungary,690,741,-6.9,385,545,-29.4,"5,589","5,058",+10.5,42,7,+500.0,"2,428","3,280",-26.0,"1,441","1,110",+29.8,"10,575","10,741",-1.5
Ireland,"2,512","1,856",+35.3,"2,100","1,420",+47.9,"3,137","2,940",+6.7,0,0,,"3,776","5,671",-33.4,"2,444","4,545",-46.2,"13,969","16,432",-15.0
Italy,6.922,"5,007",+38.2,"6,131","4,598",+33.3,"61,196","55,537",+10.2,"13,690","14,595",-6.2,"36,404","45,966",-20.8,"13,677","21,499",-36.4,"138,020","147,202",-6.2
Latvia,80,78,+2.6,134,28,+378.6,0,0,,18,36,-50.0,885,794,+11.5,281,282,-0.4,"1,398","1,218",+14.8
Lithuania,101,108,-6.5,209,103,+102.9,"1,284",954,+34.6,28,39,-28.2,415,606,-31.5,494,204,+142.2,"2,531","2,014",+25.7
Luxembourg,"1,134",942,+20.4,291,385,-24.4,"1,196","1,002",+19.4,0,0,,"1,054","1,377",-23.5,436,581,-25.0,"4,111","4,287",-4.1
Malta,46,260,-82.3,27,58,-53.4,98,124,-21.0,0,0,,118,199,-40.7,14,16,-12.5,303,657,-53.9
Netherlands,"10,174","8,315",+22.4,"4,376","4,304",+1.7,"8,122","9,007",-9.8,48,245,-80.4,"4,781","8,197",-41.7,319,264,+20.8,"27,820","30,332",-8.3
Poland,"1,675","1,370",+22.3,"1,887","1,301",+45.0,"23,470","21,506",+9.1,"1,095","1,273",-14.0,"13,390","17,014",-21.3,"3,278","3,509",-6.6,"44,795","45,973",-2.6
Portugal,"3,946","3,191",+23.7,"2,093","2,394",-12.6,"4,974","2,821",+76.3,"1,702","1,542",+10.4,"5,751","9,041",-36.4,997,1.523,-34.5,"19,463","20,512",-5.1
Romania,724,"1,109",-34.7,,,,"5,510","3,736",+47.5,"1,354",953,+42.1,"3,007","3,729",-19.4,"1,255","1,812",-30.7,"11,850","11,339",+4.5
Slovakia,276,190,+45.3,240,167,+43.7,"1,992","2,313",-13.9,143,139,+2.9,"2,526","3,692",-31.6,"1,028","1,201",-14.4,"6,205","7,702",-19.4
Slovenia,367,278,+32.0,187,104,+79.8,416,472,-11.9,52,33,+57.6,"2,539","2,591",-2.0,811,670,+21.0,"4,372","4,148",+5.4
Spain,"6,112","3,806",+60.6,"6,901","5,562",+24.1,"39,798","28,631",+39.0,"4,380","2,417",+81.2,"27,980","32,659",-14.3,"5,156","8,275",-37.7,"90,327","81,350",+11.0
Sweden,"6,872","5,215",+31.8,"5,106","4,510",+13.2,"1,942","1,906",+1.9,3,767,-99.6,"4,503","4,788",-6.0,"1,182","1,584",-25.4,"19,608","18,770",+4.5
EUROPEAN UNION,"131,275","106,166",+23.7,"63,570","64,475",-1.4,"304,062","255,443",+19.0,"30,121","30,124",-0.0,"244,073","314,504",-22.4,"80,569","113,126",-28.8,"853,670","883,838",-3.4
Iceland,248,97,+155.7,104,96,+8.3,199,95,+109.5,0,0,,43,26,+65.4,61,83,-26.5,655,397,+65.0
Norway,"8,477","6,043",+40.3,136,122,+11.5,154,259,-40.5,0,0,,37,64,-42.2,145,189,-23.3,"8,949","6,677",+34.0
Switzerland,"3,402","3,295",+3.2,"1,462","1,753",-16.6,"6,000","5,780",+3.8,3,3,+0.0,"4,071","5,959",-31.7,"1,274","1,731",-26.4,"16,212","18,521",-12.5
EFTA,"12,127","9,435",+28.5,"1,702","1,971",-13.6,"6,353","6,134",+3.6,3,3,+0.0,"4,151","6,049",-31.4,"1,480","2,003",-26.1,"25,816","25,595",+0.9
United Kingdom,"21,244","14,991",+41.7,"7,273","6,098",+19.3,"29,849","26,140",+14.2,0,0,,"22,986","34,579",-33.5,"2,702","3,078",-12.2,"84,054","84,886",-1.0
EU + EFTA + UK,"164,646","130,592",+26.1,"72,545","72,544",+0.0,"340,264","287,717",+18.3,"30,124","30,127",-0.0,"271,210","355,132",-23.6,"84,751","118,207",-28.3,"963,540","994,319",-3.1
